cityname,year,earthquake
SIVAS,1997,1
TEKIRDAG,1997,1
TOKAT,1997,0
TRABZON,1997,0
TUNCELI,1997,0
USAK,1997,1
VAN,1997,4
YALOVA,1997,1
YOZGAT,1997,0
ZONGULDAK,1997,0
ADANA,1998,39
ADIYAMAN,1998,5
AFYONKARAHISAR,1998,21
AGRI,1998,3
AKSARAY,1998,0
AMASYA,1998,5
ANKARA,1998,3
ANTALYA,1998,13
ARDAHAN,1998,0
ARTVIN,1998,0
AYDIN,1998,10
BALIKESIR,1998,109
BARTIN,1998,1
BATMAN,1998,0
BAYBURT,1998,0
BILECIK,1998,3
BINGOL,1998,8
BITLIS,1998,1
BOLU,1998,2
BURDUR,1998,9
BURSA,1998,82
CANAKKALE,1998,27
CANKIRI,1998,1
CORUM,1998,2
DENIZLI,1998,24
DIYARBAKIR,1998,0
DUZCE,1998,1
EDIRNE,1998,0
ELAZIG,1998,1
ERZINCAN,1998,1
ERZURUM,1998,7
ESKISEHIR,1998,2
GAZIANTEP,1998,0
GIRESUN,1998,0
GUMUSHANE,1998,1
HAKKARI,1998,0
HATAY,1998,2
IGDIR,1998,0
ISPARTA,1998,10
ISTANBUL,1998,14
IZMIR,1998,33
KAHRAMANMARAS,1998,1
KARABUK,1998,1
KARAMAN,1998,0
KARS,1998,0
KASTAMONU,1998,0
KAYSERI,1998,4
KILIS,1998,0
KIRIKKALE,1998,0
KIRKLARELI,1998,4
KIRSEHIR,1998,2
KOCAELI,1998,24
KONYA,1998,2
KUTAHYA,1998,240
MALATYA,1998,4
MANISA,1998,105
MARDIN,1998,0
MERSIN,1998,0
MUGLA,1998,22
MUS,1998,1
NEVSEHIR,1998,0
NIGDE,1998,3
ORDU,1998,0
OSMANIYE,1998,0
RIZE,1998,0
SAKARYA,1998,11
SAMSUN,1998,0
SANLIURFA,1998,0
SIIRT,1998,0
SINOP,1998,0
SIRNAK,1998,1
SIVAS,1998,0
TEKIRDAG,1998,6
TOKAT,1998,0
TRABZON,1998,0
TUNCELI,1998,1
USAK,1998,0
VAN,1998,0
YALOVA,1998,42
YOZGAT,1998,0
ZONGULDAK,1998,1
ADANA,1999,5
ADIYAMAN,1999,2
AFYONKARAHISAR,1999,12
AGRI,1999,0
AKSARAY,1999,0
AMASYA,1999,3
ANKARA,1999,7
ANTALYA,1999,8
ARDAHAN,1999,0
ARTVIN,1999,0
AYDIN,1999,8
BALIKESIR,1999,92
BARTIN,1999,0
BATMAN,1999,1
BAYBURT,1999,0
BILECIK,1999,5
BINGOL,1999,1
BITLIS,1999,0
BOLU,1999,27
BURDUR,1999,3
BURSA,1999,73
CANAKKALE,1999,12
CANKIRI,1999,18
CORUM,1999,4
DENIZLI,1999,15
DIYARBAKIR,1999,0
DUZCE,1999,67
EDIRNE,1999,0
ELAZIG,1999,8
ERZINCAN,1999,2
ERZURUM,1999,4
ESKISEHIR,1999,4
GAZIANTEP,1999,0
GIRESUN,1999,0
GUMUSHANE,1999,0
HAKKARI,1999,0
HATAY,1999,0
IGDIR,1999,0
ISPARTA,1999,4
ISTANBUL,1999,19
IZMIR,1999,74
KAHRAMANMARAS,1999,1
